		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	0.017	-0.015	-0.016	-0.085	-0.056	0.0100	-0.16	-0.16	-0.15				0.23	-0.067	0.032				0.052	0.011	0.0095	-0.066	-0.10																						-0.060
		(0.19)	(0.19)	(0.19)	(0.19)	(0.19)	(0.18)	(0.41)	(0.41)	(0.41)				(0.27)	(0.18)	(0.18)				(0.19)	(0.18)	(0.18)	(0.19)	(0.19)																						(0.19)
2.nationality_num	Nationality = 2, Dutch	-0.037	-0.026	-0.027	-0.026	-0.060	-0.040	-0.034	-0.032	-0.023	-0.042	-0.050	-0.11	0.16	-0.052	-0.11**	0.0081	0.0081	-0.073	-0.016	0.0030	-0.051	-0.049	-0.050	-0.0097	-0.049	-0.0016	-0.048	-0.048	0.033	-0.034	-0.060	-0.078	-0.093	-0.011	-0.011	-0.14	-0.085	-0.011	-0.011	0.042	-0.078	-0.093	-0.066	-0.011	0.0085
		(0.050)	(0.050)	(0.050)	(0.050)	(0.056)	(0.049)	(0.050)	(0.051)	(0.051)	(0.052)	(0.068)	(0.10)	(0.19)	(0.049)	(0.051)	(0.059)	(0.059)	(0.059)	(0.052)	(0.049)	(0.057)	(0.057)	(0.055)	(0.082)	(0.057)	(0.082)	(0.057)	(0.057)	(0.057)	(0.058)	(0.078)	(0.078)	(0.088)	(0.077)	(0.077)	(0.088)	(0.087)	(0.096)	(0.077)	(0.077)	(0.078)	(0.088)	(0.069)	(0.082)	(0.060)
4.nationality_num	Nationality = 4, French	0.0030	-0.029	-0.029	-0.025	-0.022	-0.0015	0.025	0.029	0.045	0.020	0.014	0.018	0.029	-0.045	0.037	-0.017	-0.017	0.0031	0.035	0.059	-0.060	-0.043	-0.046	-0.035	-0.027	-0.0097	-0.0013	-0.0013	0.035	0.062	0.021	0.037	0.040	0.090	0.090	0.029	0.080	0.090	0.090	0.11	0.037	0.040	0.034	0.090	0.023
		(0.065)	(0.067)	(0.067)	(0.066)	(0.070)	(0.065)	(0.067)	(0.067)	(0.068)	(0.067)	(0.066)	(0.067)	(0.067)	(0.069)	(0.067)	(0.080)	(0.080)	(0.080)	(0.069)	(0.067)	(0.077)	(0.071)	(0.069)	(0.071)	(0.071)	(0.073)	(0.073)	(0.073)	(0.075)	(0.073)	(0.085)	(0.088)	(0.087)	(0.087)	(0.087)	(0.085)	(0.089)	(0.18)	(0.087)	(0.090)	(0.088)	(0.087)	(0.079)	(0.17)	(0.073)
5.nationality_num	Nationality = 5, Spanish	0.50***	0.32**	0.35*	0.41**	0.50***		0.52***	0.52***	0.54***	0.46***	0.47***	0.48***	0.50***	0.40***	0.48***				0.58***	0.62***	0.39*	0.36***																							0.43**
