		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	-0.0037	-0.032	-0.036	-0.089	-0.068	-0.0082	-0.16	-0.16	-0.15				0.20	-0.084	0.0083				0.027	-0.0015	-0.020	-0.077	-0.10																						-0.067
		(0.18)	(0.18)	(0.18)	(0.18)	(0.18)	(0.17)	(0.39)	(0.39)	(0.39)				(0.25)	(0.17)	(0.17)				(0.18)	(0.17)	(0.17)	(0.18)	(0.18)																						(0.18)
2.nationality_num	Nationality = 2, Dutch	-0.016	-0.0074	-0.0084	-0.0053	-0.037	-0.018	-0.015	-0.014	-0.0030	-0.022	-0.027	-0.053	0.18	-0.032	-0.086*	0.016	0.016	-0.062	-0.0013	0.010	-0.022	-0.027	-0.029	0.011	-0.028	0.019	-0.027	-0.027	0.032	-0.033	-0.075	-0.088	-0.10	-0.046	-0.046	-0.14*	-0.075	-0.046	-0.046	0.023	-0.088	-0.10	-0.071	-0.046	0.011
		(0.047)	(0.047)	(0.047)	(0.047)	(0.053)	(0.046)	(0.047)	(0.047)	(0.048)	(0.048)	(0.064)	(0.095)	(0.17)	(0.046)	(0.047)	(0.054)	(0.054)	(0.055)	(0.048)	(0.045)	(0.052)	(0.053)	(0.052)	(0.076)	(0.054)	(0.076)	(0.053)	(0.053)	(0.051)	(0.052)	(0.071)	(0.071)	(0.081)	(0.070)	(0.070)	(0.083)	(0.081)	(0.082)	(0.070)	(0.070)	(0.071)	(0.081)	(0.067)	(0.068)	(0.056)
4.nationality_num	Nationality = 4, French	0.023	-0.0044	-0.0045	-0.0012	0.0019	0.017	0.043	0.047	0.066	0.037	0.032	0.035	0.049	-0.023	0.055	0.0017	0.0017	0.023	0.046	0.066	-0.034	-0.016	-0.021	-0.013	-0.0070	0.012	0.018	0.018	0.034	0.061	0.016	0.029	0.032	0.059	0.059	0.011	0.062	0.059	0.059	0.093	0.029	0.032	0.033	0.059	0.029
		(0.061)	(0.062)	(0.062)	(0.062)	(0.065)	(0.060)	(0.063)	(0.063)	(0.064)	(0.063)	(0.062)	(0.063)	(0.062)	(0.065)	(0.062)	(0.074)	(0.074)	(0.073)	(0.064)	(0.062)	(0.072)	(0.066)	(0.065)	(0.066)	(0.067)	(0.068)	(0.068)	(0.068)	(0.069)	(0.067)	(0.077)	(0.080)	(0.080)	(0.080)	(0.080)	(0.079)	(0.081)	(0.17)	(0.080)	(0.082)	(0.080)	(0.080)	(0.076)	(0.16)	(0.068)
5.nationality_num	Nationality = 5, Spanish	0.61***	0.46***	0.55***	0.51***	0.61***		0.63***	0.63***	0.66***	0.57***	0.58***	0.58***	0.61***	0.51***	0.59***				0.67***	0.71***	0.50***	0.49***																							0.52***
