		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	0.21	0.17	0.18	0.090	0.14	0.21	-0.011	-0.0063	-0.0011				0.42	0.12	0.23				0.23	0.19	0.21	0.13	0.088																						0.11
		(0.20)	(0.20)	(0.20)	(0.20)	(0.20)	(0.19)	(0.43)	(0.43)	(0.43)				(0.28)	(0.19)	(0.19)				(0.20)	(0.19)	(0.19)	(0.20)	(0.19)																						(0.20)
2.nationality_num	Nationality = 2, Dutch	-0.11**	-0.10*	-0.099*	-0.098*	-0.13**	-0.12**	-0.11**	-0.11**	-0.10*	-0.12**	-0.15**	-0.24**	0.084	-0.13**	-0.19***	-0.062	-0.062	-0.15**	-0.099*	-0.063	-0.13**	-0.11*	-0.12**	-0.091	-0.11*	-0.082	-0.11*	-0.11*	-0.025	-0.098	-0.12	-0.13	-0.15	-0.054	-0.054	-0.18**	-0.14	-0.054	-0.054	-0.013	-0.13	-0.15	-0.11	-0.054	-0.048
		(0.053)	(0.052)	(0.052)	(0.052)	(0.059)	(0.051)	(0.052)	(0.053)	(0.054)	(0.054)	(0.071)	(0.11)	(0.20)	(0.051)	(0.053)	(0.061)	(0.061)	(0.061)	(0.056)	(0.052)	(0.059)	(0.059)	(0.057)	(0.084)	(0.059)	(0.084)	(0.059)	(0.059)	(0.059)	(0.060)	(0.081)	(0.081)	(0.091)	(0.080)	(0.080)	(0.090)	(0.088)	(0.097)	(0.080)	(0.081)	(0.081)	(0.091)	(0.073)	(0.086)	(0.064)
4.nationality_num	Nationality = 4, French	-0.074	-0.12*	-0.12*	-0.11	-0.092	-0.079	-0.046	-0.044	-0.035	-0.053	-0.061	-0.053	-0.048	-0.13*	-0.039	-0.091	-0.091	-0.071	-0.049	-0.0068	-0.14*	-0.12	-0.12*	-0.11	-0.10	-0.080	-0.070	-0.070	-0.029	-0.0027	-0.041	-0.012	-0.0084	0.049	0.049	-0.0064	0.036	0.049	0.049	0.060	-0.012	-0.0084	-0.0090	0.049	-0.042
		(0.068)	(0.070)	(0.070)	(0.068)	(0.073)	(0.067)	(0.070)	(0.070)	(0.072)	(0.070)	(0.069)	(0.069)	(0.070)	(0.073)	(0.070)	(0.083)	(0.083)	(0.082)	(0.073)	(0.071)	(0.080)	(0.074)	(0.072)	(0.073)	(0.073)	(0.075)	(0.075)	(0.075)	(0.078)	(0.077)	(0.088)	(0.091)	(0.090)	(0.091)	(0.091)	(0.088)	(0.092)	(0.18)	(0.091)	(0.093)	(0.091)	(0.090)	(0.083)	(0.17)	(0.077)
5.nationality_num	Nationality = 5, Spanish	0.69***	0.45***	0.33	0.46**	0.68***		0.71***	0.71***	0.72***	0.64***	0.65***	0.67***	0.69***	0.57***	0.66***				0.74***	0.77***	0.61***	0.50***																							0.49**
